Month,Cupcake
2004-01,5
2004-02,6
2004-03,5
2004-04,5
2004-05,5
2004-06,6
2004-07,5
2004-08,6
2004-09,4
2004-10,9
2004-11,7
2004-12,7
2005-01,6
2005-02,8
2005-03,9
2005-04,8
2005-05,8
2005-06,9
2005-07,8
2005-08,8
2005-09,9
2005-10,12
2005-11,8
2005-12,7
2006-01,9
2006-02,11
2006-03,10
2006-04,11
2006-05,10
2006-06,11
2006-07,10
2006-08,11
2006-09,11
2006-10,15
2006-11,12
2006-12,12
2007-01,12
2007-02,15
2007-03,15
2007-04,15
2007-05,16
2007-06,17
2007-07,18
2007-08,18
2007-09,18
2007-10,23
2007-11,18
2007-12,18
2008-01,19
2008-02,25
2008-03,23
2008-04,22
2008-05,24
2008-06,24
2008-07,24
2008-08,25
2008-09,25
2008-10,30
2008-11,27
2008-12,26
2009-01,28
2009-02,34
2009-03,33
2009-04,35
2009-05,36
2009-06,35
2009-07,36
2009-08,36
2009-09,35
2009-10,43
2009-11,37
2009-12,34
2010-01,36
2010-02,45
2010-03,44
2010-04,44
2010-05,47
2010-06,47
2010-07,55
2010-08,63
2010-09,59
2010-10,63
2010-11,56
2010-12,53
2011-01,56
2011-02,70
2011-03,66
2011-04,72
2011-05,66
2011-06,66
2011-07,70
2011-08,74
2011-09,73
2011-10,81
2011-11,75
2011-12,77
2012-01,77
2012-02,94
2012-03,90
2012-04,91
2012-05,89
2012-06,89
2012-07,85
2012-08,84
2012-09,90
2012-10,100
2012-11,83
2012-12,80
2013-01,78
2013-02,100
2013-03,97
2013-04,86
2013-05,86
2013-06,82
2013-07,81
2013-08,85
2013-09,83
2013-10,93
2013-11,84
2013-12,83
2014-01,81
2014-02,94
2014-03,88
2014-04,85
2014-05,81
2014-06,74
2014-07,77
2014-08,78
2014-09,80
2014-10,88
2014-11,82
2014-12,75
2015-01,72
2015-02,84
2015-03,78
2015-04,74
2015-05,72
2015-06,69
2015-07,71
2015-08,68
2015-09,70
2015-10,80
2015-11,68
2015-12,66
2016-01,66
2016-02,75
2016-03,72
2016-04,63
2016-05,66
2016-06,62
2016-07,59
2016-08,56
2016-09,60
2016-10,64
2016-11,59
2016-12,55
2017-01,54
2017-02,68
2017-03,60
2017-04,58
2017-05,56
2017-06,52
2017-07,49
2017-08,51
2017-09,52
2017-10,60
2017-11,52
2017-12,49
2018-01,49
2018-02,57
2018-03,55
2018-04,49
2018-05,51
2018-06,46
2018-07,46
2018-08,47
2018-09,47
2018-10,51
2018-11,48
2018-12,47
2019-01,48
2019-02,55
2019-03,50
2019-04,48
2019-05,46
2019-06,42
2019-07,40
2019-08,43
2019-09,44
2019-10,53
2019-11,43
2019-12,42
2020-01,41
2020-02,48
2020-03,44
2020-04,55
2020-05,57
2020-06,49
2020-07,48
2020-08,44
2020-09,42
2020-10,48
2020-11,42
2020-12,41
2021-01,41
2021-02,53
2021-03,46
